method,target,feature_space,split_mode,grid_config_name,split,prediction_target,count_topN,mean_absolute_error,median_absolute_error,max_absolute_error,mean_relative_error,median_relative_error,max_relative_error
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_standard_opt_rmsprop_batch_64_act_relu_drop_0.2,test,CPUTime,100,34362.02045288086,26905.782806396484,76702.50830078125,12.624137604719342,0.9504977954366371,951.6387544014084
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_standard_opt_rmsprop_batch_64_act_relu_drop_0.2,train,CPUTime,100,60545.81234008789,35825.06396484375,1526646.0,5135.7822086661545,0.9009146656082525,508882.0
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_standard_opt_rmsprop_batch_64_act_relu_drop_0.2,val,CPUTime,100,20092.198466186524,17109.045288085938,70826.529296875,0.802691137442645,0.8486697613326315,0.96274954736699
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_standard_opt_rmsprop_batch_64_act_relu_drop_0.3,test,CPUTime,100,33744.072653808595,27172.117919921875,76678.73260498047,6.219149733164019,0.9588843015362409,430.338633362676
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_standard_opt_rmsprop_batch_64_act_relu_drop_0.3,train,CPUTime,100,66355.92970916748,35756.13330078125,2303721.25,7709.965062474099,0.883265279428874,767907.0833333334
2dsa,cpu,raw,record,2dsa_arch_128_64_scaler_standard_opt_rmsprop_batch_64_act_relu_drop_0.3,val,CPUTime,100,19686.574726257324,16970.707397460938,71330.97216796875,0.7993789735560576,0.8086078709429914,1.361737020796329
2dsa,cpu,raw,record,2dsa_arch_64_32_scaler_minmax_opt_adam_batch_128_act_elu_drop_0.2,test,CPUTime,100,33095.97872314453,26301.381286621094,75259.07934570312,0.9171182978029513,0.9331074043202052,0.9744498381140636
2dsa,cpu,raw,record,2dsa_arch_64_32_scaler_minmax_opt_adam_batch_128_act_elu_drop_0.2,train,CPUTime,100,41908.28663635254,32979.327880859375,244571.919921875,1.5540252735263538,0.8541132183906106,53.9716796875
2dsa,cpu,raw,record,2dsa_arch_64_32_scaler_minmax_opt_adam_batch_128_act_elu_drop_0.2,val,CPUTime,100,18389.474372558594,15021.068603515625,67480.4716796875,1.4558569137085875,0.7597372274479623,12.426852775761974
2dsa,cpu,raw,record,2dsa_arch_64_32_scaler_minmax_opt_adam_batch_128_act_elu_drop_0.3,test,CPUTime,100,33215.70257202149,26249.095153808594,75387.18505859375,0.9128840246793638,0.9361278415596491,0.9781021932412308
